entry_date,entry_text,mood_score
2026-03-01,"週末。久しぶりにゆっくり読書。少し気持ちが整った気がする。",7
2026-03-02,"月曜から会議が詰まっていて消耗。夜は早めに寝たい。",4
2026-03-03,"プロジェクトの方向性で上司と意見が割れた。もやもやが残る。",3
2026-03-04,"朝のランで気分がリセットされた。仕事も進んだ。",8
2026-03-05,"コードレビューで指摘が多かった。凹むが学びもあった。",5
2026-03-06,"金曜。チームで飲み会。笑えた。",8
2026-03-07,"土曜。寝坊したが罪悪感なし。掃除して片付いた。",7
2026-03-08,"日曜。家族と公園。天気がよくて気持ちよかった。",9
2026-03-09,"月曜。スプリント開始。やる気はあるが少し不安。",6
2026-03-10,"集中できた一日。ポモドーロが効いた。",8
2026-03-11,"顧客ミーティングで厳しいフィードバック。落ち込む。",3
2026-03-12,"朝から頭痛。生産性低い。",4
2026-03-13,"金曜。週末に向けて気持ちが軽くなる。",7
2026-03-14,"土曜。友人とカフェ。楽しかった。",8
2026-03-15,"日曜。だらだら過ごしすぎた。少し後悔。",5
2026-03-16,"月曜。雨。気分も重い。",4
2026-03-17,"新しい技術を試してワクワクした。",8
2026-03-18,"タスクが山積み。焦りが出てきた。",4
2026-03-19,"同僚から褒められて嬉しかった。",8
2026-03-20,"金曜。一週間頑張った達成感。",7
2026-03-21,"土曜。運動して汗をかいた。気持ちいい。",8
2026-03-22,"日曜。読書と昼寝。回復した。",8
2026-03-23,"月曜。会議続き。疲れた。",4
2026-03-24,"進捗会議でプレッシャー。胃が痛い。",3
2026-03-25,"デバッグで半日溶けた。消耗。",4
2026-03-26,"難問が解けた。気持ちがスッと軽くなった。",8
2026-03-27,"金曜。達成感のある週だった。",8
2026-03-28,"土曜。家族と外食。美味しかった。",9
2026-03-29,"日曜。来週のことを考えて少し憂鬱。",5
2026-03-30,"月曜。朝会で前向きになれた。",7
