event_date,event_title,category
2026-03-01,読書,personal
2026-03-02,定例会議,work
2026-03-02,1on1,work
2026-03-03,戦略会議,work
2026-03-04,朝ラン,health
2026-03-04,設計レビュー,work
2026-03-05,コードレビュー,work
2026-03-06,チーム飲み会,social
2026-03-07,掃除,personal
2026-03-08,家族と公園,family
2026-03-09,スプリント計画,work
2026-03-10,集中作業,work
2026-03-11,顧客ミーティング,work
2026-03-12,通院,health
2026-03-13,週次振り返り,work
2026-03-14,友人とカフェ,social
2026-03-15,休息,personal
2026-03-16,定例会議,work
2026-03-17,技術調査,work
2026-03-17,勉強会参加,learning
2026-03-18,タスク棚卸し,work
2026-03-19,プレゼン,work
2026-03-20,週次振り返り,work
2026-03-21,ジム,health
2026-03-22,読書,personal
2026-03-23,定例会議,work
2026-03-23,全社会議,work
2026-03-24,進捗報告,work
2026-03-25,デバッグ作業,work
2026-03-26,リリース,work
2026-03-27,週次振り返り,work
2026-03-28,家族と外食,family
2026-03-29,翌週準備,work
2026-03-30,朝会,work
